img_no 	 min_val 	max_val 	 ang_x 	 ang_y 	 ang_z 
174 	 -0.000638 	 1.259363 	 -2.753419 	 0.175894 	 -0.613227 
175 	 -0.000264 	 1.260823 	 -2.620544 	 -0.516149 	 2.627031 
176 	 -0.000471 	 1.360000 	 2.556666 	 -0.094866 	 0.230260 
177 	 -0.000305 	 1.390539 	 1.283193 	 0.753811 	 -2.196637 
178 	 -0.000816 	 1.375684 	 -1.323236 	 -0.137472 	 3.038288 
179 	 -0.000467 	 1.245702 	 -2.318860 	 0.867633 	 2.753056 
180 	 -0.001367 	 1.439192 	 -2.062322 	 0.019098 	 1.314644 
181 	 -0.000808 	 1.150763 	 -0.700299 	 -1.174996 	 -0.999350 
182 	 -0.000377 	 1.443182 	 1.637733 	 -0.369777 	 1.809422 
183 	 -0.000248 	 1.292263 	 1.835075 	 0.566813 	 2.597339 
184 	 -0.000706 	 1.315027 	 2.047270 	 -0.819061 	 0.097666 
185 	 -0.000322 	 1.417329 	 1.676657 	 0.220665 	 -2.240750 
186 	 -0.000215 	 1.088687 	 -1.717101 	 0.521320 	 0.421385 
187 	 -0.000242 	 1.232133 	 0.453569 	 0.067874 	 -2.063629 
188 	 -0.000229 	 1.215003 	 -1.594580 	 -0.953993 	 2.768280 
189 	 -0.000513 	 1.178452 	 2.203891 	 1.053913 	 -2.676368 
190 	 -0.000398 	 1.150003 	 0.163934 	 -0.228719 	 2.978255 
191 	 -0.000284 	 1.145065 	 2.498106 	 0.694881 	 -2.005759 
192 	 -0.000504 	 1.292413 	 3.087494 	 -0.202605 	 2.280869 
193 	 -0.000271 	 1.172802 	 -2.932861 	 -0.258309 	 2.604710 
194 	 -0.000293 	 1.204250 	 0.870512 	 0.456548 	 -2.979460 
195 	 -0.000313 	 1.131472 	 -0.291343 	 -0.254414 	 3.101112 
196 	 -0.000227 	 1.349499 	 -2.053690 	 0.496216 	 -1.383541 
197 	 -0.000287 	 1.235108 	 1.943862 	 0.442768 	 0.543198 
198 	 -0.000346 	 1.287123 	 -2.256390 	 -0.248668 	 2.851250 
199 	 -0.000793 	 1.344189 	 -2.388108 	 0.671319 	 2.506157 
200 	 -0.000269 	 1.361539 	 1.459038 	 0.094068 	 -2.345022 
201 	 -0.000539 	 1.305579 	 1.101909 	 -0.454471 	 -2.979732 
202 	 -0.000941 	 1.402573 	 -1.612725 	 -0.356509 	 1.633220 
203 	 -0.000359 	 1.266338 	 1.533482 	 -0.966287 	 -2.834868 
204 	 -0.000234 	 1.074390 	 2.636744 	 0.098203 	 -0.691051 
205 	 -0.000861 	 1.140270 	 2.732611 	 0.025923 	 1.667434 
206 	 -0.000479 	 1.310847 	 -2.268541 	 -0.325831 	 3.110906 
207 	 -0.000567 	 1.194306 	 2.320813 	 0.460529 	 -2.862235 
208 	 -0.000905 	 1.466389 	 -3.002917 	 0.925734 	 1.637745 
209 	 -0.000320 	 1.478094 	 2.658839 	 -0.982826 	 0.437922 
210 	 -0.000292 	 1.328770 	 -2.110656 	 -0.624992 	 -1.253236 
211 	 -0.000156 	 1.202644 	 0.542789 	 0.786921 	 -2.282683 
212 	 -0.000272 	 1.279363 	 -1.821831 	 -0.066416 	 -0.649633 
213 	 -0.000303 	 1.436265 	 -2.031842 	 0.487455 	 -2.073918 
214 	 -0.000210 	 1.382226 	 1.541328 	 0.018135 	 -2.397877 
215 	 -0.000561 	 1.215102 	 -1.289038 	 0.984361 	 1.174590 
216 	 -0.000432 	 1.208210 	 -1.123941 	 -0.552233 	 -0.434548 
217 	 -0.000524 	 1.115551 	 1.829873 	 0.048511 	 2.786797 
218 	 -0.000171 	 1.329815 	 1.745093 	 -0.958407 	 0.985724 
219 	 -0.000592 	 1.272408 	 -1.008612 	 -0.020871 	 -0.809656 
220 	 -0.000462 	 1.310186 	 -2.431716 	 0.796981 	 0.522731 
221 	 -0.000383 	 1.255164 	 -0.521444 	 -0.685333 	 0.754754 
222 	 -0.001126 	 1.525069 	 1.530914 	 -0.299653 	 -1.250183 
223 	 -0.000225 	 1.392900 	 2.269108 	 -0.749201 	 -2.342712 
224 	 -0.000501 	 1.399418 	 -2.681200 	 -0.680789 	 -0.309393 
225 	 -0.000378 	 1.237411 	 -0.992924 	 0.233536 	 -1.800943 
226 	 -0.000262 	 1.316210 	 -0.136251 	 0.826544 	 2.520215 
227 	 -0.000135 	 1.342093 	 -2.679843 	 0.359300 	 0.784897 
228 	 -0.000198 	 1.384040 	 -2.891232 	 0.110611 	 0.953405 
229 	 -0.000449 	 1.270220 	 -2.689040 	 0.376258 	 2.748673 
230 	 -0.000404 	 1.380442 	 -1.552659 	 -0.073638 	 2.342662 
231 	 -0.000479 	 1.587279 	 -2.618242 	 -0.157521 	 1.219965 
232 	 -0.000758 	 1.378345 	 0.219290 	 0.053766 	 1.902115 
233 	 -0.000314 	 1.316038 	 0.768119 	 0.862881 	 -0.859484 
234 	 -0.000403 	 1.157606 	 -3.105119 	 -1.244670 	 1.328936 
235 	 -0.000270 	 1.363466 	 1.150303 	 -0.492244 	 1.326395 
236 	 -0.000368 	 1.307122 	 2.951486 	 -0.436521 	 -0.768474 
237 	 -0.000213 	 1.171706 	 3.003509 	 0.649411 	 -0.362429 
238 	 -0.000289 	 1.437766 	 0.310546 	 0.789827 	 0.238618 
239 	 -0.000386 	 1.155592 	 -3.070067 	 -1.198679 	 -1.013805 
240 	 -0.000539 	 1.285584 	 -1.530739 	 0.302090 	 1.235694 
241 	 -0.000196 	 1.346229 	 1.554461 	 0.626338 	 2.315622 
242 	 -0.000364 	 1.292737 	 0.841300 	 1.015632 	 -0.287188 
243 	 -0.001521 	 1.168795 	 2.017101 	 1.397360 	 -1.804922 
244 	 -0.000400 	 1.249447 	 1.772476 	 0.170336 	 -2.782897 
245 	 -0.000276 	 1.267974 	 2.221464 	 -0.043698 	 -2.295635 
246 	 -0.000330 	 1.105962 	 -1.739275 	 0.252007 	 0.234103 
247 	 -0.000337 	 1.369486 	 -2.530462 	 0.538785 	 2.133601 
248 	 -0.000470 	 1.289229 	 -0.496016 	 0.386245 	 0.926348 
249 	 -0.000626 	 1.267738 	 -1.143808 	 0.065560 	 2.827047 
250 	 -0.000591 	 1.359232 	 2.274942 	 -1.148558 	 1.193853 
251 	 -0.000261 	 1.325111 	 0.735082 	 -0.405613 	 1.725364 
252 	 -0.000336 	 1.168597 	 2.832082 	 -0.299150 	 1.266353 
253 	 -0.000540 	 1.435945 	 -0.180687 	 0.162966 	 -2.928082 
254 	 -0.000185 	 1.285310 	 -2.601669 	 -0.684081 	 -2.933960 
255 	 -0.000657 	 1.324475 	 -1.862181 	 -0.857891 	 -1.099804 
256 	 -0.000286 	 1.155932 	 -2.951482 	 0.373115 	 -2.873499 
257 	 -0.000352 	 1.356941 	 0.864493 	 0.191888 	 -1.300799 
258 	 -0.000999 	 1.105327 	 -0.479973 	 -0.503730 	 1.605594 
259 	 -0.000343 	 1.300810 	 0.447360 	 -0.153588 	 1.334758 
260 	 -0.000311 	 1.388111 	 0.998885 	 0.641511 	 -2.255104 
261 	 -0.001071 	 1.181107 	 0.314205 	 0.482920 	 1.582962 
262 	 -0.000327 	 1.146086 	 -1.516016 	 -0.080273 	 0.281450 
263 	 -0.000462 	 1.322162 	 -2.225495 	 0.412942 	 -0.539377 
264 	 -0.000235 	 1.134205 	 2.245579 	 -0.010846 	 2.264078 
265 	 -0.000420 	 1.175066 	 2.488387 	 0.064931 	 2.054659 
266 	 -0.000801 	 1.255393 	 -0.924805 	 0.027146 	 0.174153 
267 	 -0.000167 	 1.345024 	 -2.066283 	 -0.130810 	 -2.091415 
268 	 -0.000716 	 1.155116 	 -1.524141 	 0.291232 	 0.226255 
269 	 -0.000991 	 1.358152 	 -3.076837 	 0.031902 	 -1.421576 
270 	 -0.001884 	 1.362051 	 -1.311830 	 1.182905 	 -1.354422 
271 	 -0.000393 	 1.358259 	 -1.524325 	 0.922335 	 0.987491 
272 	 -0.000281 	 1.329892 	 -2.290567 	 -1.071045 	 2.547707 
273 	 -0.000361 	 1.267776 	 0.387584 	 -0.529629 	 -2.486647 
274 	 -0.000676 	 1.344786 	 1.149561 	 -0.309281 	 1.560125 
275 	 -0.000419 	 1.250069 	 3.001671 	 0.392768 	 1.629325 
276 	 -0.000292 	 1.330634 	 1.192971 	 -1.176673 	 -1.781264 
277 	 -0.000524 	 1.342047 	 -0.743859 	 -0.653421 	 -0.693322 
278 	 -0.000227 	 1.329879 	 1.185302 	 -0.591115 	 0.652152 
279 	 -0.000208 	 1.441462 	 -2.909497 	 0.506186 	 0.847152 
280 	 -0.000254 	 1.218624 	 -0.799688 	 0.681261 	 2.920297 
281 	 -0.002459 	 1.468791 	 -1.568512 	 0.281650 	 -1.733574 
282 	 -0.000169 	 1.260517 	 0.934121 	 0.050746 	 -2.347858 
283 	 -0.000270 	 1.245885 	 -2.665926 	 -0.532362 	 -2.830992 
284 	 -0.000148 	 1.277061 	 1.554627 	 -0.738852 	 0.585835 
285 	 -0.000265 	 1.224095 	 -1.868144 	 -1.038242 	 2.929312 
286 	 -0.000239 	 1.405523 	 1.123693 	 -0.103511 	 2.215701 
287 	 -0.000170 	 1.244721 	 1.746708 	 -0.780936 	 -2.718562 
288 	 -0.000277 	 1.182889 	 2.810854 	 0.675546 	 1.778427 
289 	 -0.000196 	 1.255201 	 -1.388520 	 -0.572962 	 2.321092 
290 	 -0.000285 	 1.141597 	 -0.630798 	 -0.214121 	 -1.326356 
291 	 -0.000421 	 1.238427 	 -2.978622 	 -0.341016 	 -0.368847 
292 	 -0.000485 	 1.389160 	 0.790282 	 -0.768528 	 -1.097811 
293 	 -0.000222 	 1.355422 	 1.788368 	 -0.636845 	 0.875786 
294 	 -0.001293 	 1.134062 	 -1.884269 	 1.261817 	 0.523162 
295 	 -0.000653 	 1.315081 	 2.962357 	 -0.169932 	 1.641901 
